Created at [Route Purchase],Price [Route Purchase],Id [Route],Title [Route],Type [Payment],Id [User]
"January 01, 2025 14:16",6.99,10456,Ghouls and Gruesome Tales: A Glasgow Ghost tour with Where Now,InAppPurchase,245678
"January 01, 2025 14:16",5.99,10255,"Dwarfs, Ghosts and Beer: A Guide to Wrocław’s Old Town",InAppPurchase,387584
"January 01, 2025 14:16",7.99,3718,"Lisbon’s historic neighbourhoods: a walk through Baixa, Mouraria and Graça",InAppPurchase,385954
"January 01, 2025 14:23",5.99,8038,Madrid’s Golden Age: 500 Years of History along the Manzanares River,InAppPurchase,176713
"January 01, 2025 14:29",4.99,3398,Gourmet and kid-friendly walk in the Marais,AndroidPayment,369919
"January 01, 2025 14:31",19.99,10277,The Shades of Old Milan: A Navigli Walking Tour with Context,InAppPurchase,381468
"January 01, 2025 14:39",19.99,9736,"Graffiti, Tags, and Murals: A Lisbon Street Art Tour with Context",InAppPurchase,246321
"January 01, 2025 14:43",4.99,1152,Explore the Old City with a friend,CouponRedemptionResellerReply,387599
"January 01, 2025 14:50",8.99,3859,The best of Pisa: a sightseeing tour from Tuttomondo to the Leaning Tower,InAppPurchase,234840
"January 01, 2025 15:01",9.99,11023,Riverside Ride to Belém: A Guide to Lisbon’s Legends along the Tagus,InAppPurchase,205385
"January 01, 2025 15:14",14.99,6669,"Pride and Folk, Stonewall and Gaslight: A Self-Guided Tour of Greenwich Village",CouponRedemptionResellerReply,387390
"January 01, 2025 15:23",11.99,7578,Barcelona Walking Tour: Landmarks and Legends of El Born and Ciutadella Park,StripePayment,77786
"January 01, 2025 15:30",11.99,4074,A Stroll through the Heart of Savannah’s Historical District,InAppPurchase,387601
"January 01, 2025 15:32",5.99,1113,Cambridge Colleges Audio Guide: From King's to Trinity and St John's,AndroidPayment,387556
"January 01, 2025 15:33",11.99,1761,Reykjavik Revealed: A Tour of its Main Sights and Hidden Gems,InAppPurchase,84442
"January 01, 2025 15:34",9.99,4976,Unveiling Geneva's Timeless Charms: A Journey Through Old Town's Rich History,CouponRedemptionResellerReply,387604
"January 01, 2025 15:35",9.99,4976,Unveiling Geneva's Timeless Charms: A Journey Through Old Town's Rich History,CouponRedemptionResellerReply,387603
"January 01, 2025 15:36",19.99,9490,The History of the Jewish Ghetto in Florence: A Walking Tour with Context,InAppPurchase,386185
"January 01, 2025 15:38",9.99,4976,Unveiling Geneva's Timeless Charms: A Journey Through Old Town's Rich History,CouponRedemptionResellerReply,387605
"January 01, 2025 15:47",0.0,1095,Cape Point Audio Guide: Lighthouse Walk,FreePayment,367288
"January 01, 2025 15:48",0.0,1298,Cape Point Audio Guide: Funicular Route,FreePayment,367288
"January 01, 2025 15:49",0.0,4480,Paarl Heritage Trail: A Story of Wine and Pearls,FreePayment,367288
"January 01, 2025 15:49",19.99,9643,"The Rise, Fall, and Rediscovery of Pompeii: An Audio Guide with Context",InAppPurchase,387608
"January 01, 2025 15:49",0.0,4481,"Wellington Heritage Trail: Wagonmakers, Winemakers and Women Educators",FreePayment,367288
"January 01, 2025 15:50",8.99,3859,The best of Pisa: a sightseeing tour from Tuttomondo to the Leaning Tower,InAppPurchase,180397
"January 01, 2025 15:52",7.99,4253,Knoxville Legends: Exploring the City’s Country Music Heritage,CouponRedemptionResellerReply,387610
"January 01, 2025 15:55",14.99,3508,The Glory of Occitania,InAppPurchase,258919
"January 01, 2025 16:08",11.99,5090,Lake Tahoe Driving Tour: From Incline Village to South Lake Tahoe,AndroidPayment,386207
"January 01, 2025 16:08",9.99,3228,History with a side of Tapas: A local's Madrid,InAppPurchase,197534
"January 01, 2025 16:09",5.99,10255,"Dwarfs, Ghosts and Beer: A Guide to Wrocław’s Old Town",CouponRedemptionResellerReply,387612
